Thuật Toán,Hàm Lượng Giá,Map,Seed,Kết Quả,Điểm Số,Thời Gian (giây)
MinimaxAgent,betterEvaluationFunction,trappedClassic,24521429,Lose,-502,0.0956
MinimaxAgent,betterEvaluationFunction,smallClassic,24521425,Win,1443,52.0351
MinimaxAgent,betterEvaluationFunction,smallClassic,24521426,Win,1749,18.3214
MinimaxAgent,betterEvaluationFunction,smallClassic,24521427,Win,1739,21.1239
MinimaxAgent,betterEvaluationFunction,smallClassic,24521428,Win,1262,37.2743
MinimaxAgent,betterEvaluationFunction,smallClassic,24521429,Win,1318,24.7991
MinimaxAgent,betterEvaluationFunction,mediumClassic,24521425,Win,1908,24.9407
MinimaxAgent,betterEvaluationFunction,mediumClassic,24521426,Win,1895,33.7996
MinimaxAgent,betterEvaluationFunction,mediumClassic,24521427,Win,2086,20.4712
MinimaxAgent,betterEvaluationFunction,mediumClassic,24521428,Win,1616,34.8617
MinimaxAgent,betterEvaluationFunction,mediumClassic,24521429,Win,1658,26.6444
AlphaBetaAgent,betterEvaluationFunction,testClassic,24521425,Win,438,3.0796
AlphaBetaAgent,betterEvaluationFunction,testClassic,24521426,Win,466,2.5396
AlphaBetaAgent,betterEvaluationFunction,testClassic,24521427,Win,526,1.3632
AlphaBetaAgent,betterEvaluationFunction,testClassic,24521428,Win,556,0.7738
AlphaBetaAgent,betterEvaluationFunction,testClassic,24521429,Win,552,0.7057
AlphaBetaAgent,betterEvaluationFunction,minimaxClassic,24521425,Win,512,0.2287
AlphaBetaAgent,betterEvaluationFunction,minimaxClassic,24521426,Win,511,0.1951
AlphaBetaAgent,betterEvaluationFunction,minimaxClassic,24521427,Lose,-496,0.1732
AlphaBetaAgent,betterEvaluationFunction,minimaxClassic,24521428,Lose,-497,0.192
AlphaBetaAgent,betterEvaluationFunction,minimaxClassic,24521429,Lose,-496,0.2355
AlphaBetaAgent,betterEvaluationFunction,trappedClassic,24521425,Win,531,0.1171
AlphaBetaAgent,betterEvaluationFunction,trappedClassic,24521426,Lose,-502,0.106
AlphaBetaAgent,betterEvaluationFunction,trappedClassic,24521427,Lose,-502,0.1126
AlphaBetaAgent,betterEvaluationFunction,trappedClassic,24521428,Lose,-502,0.0995
AlphaBetaAgent,betterEvaluationFunction,trappedClassic,24521429,Lose,-502,0.1064
AlphaBetaAgent,betterEvaluationFunction,smallClassic,24521425,Win,1443,20.1543
AlphaBetaAgent,betterEvaluationFunction,smallClassic,24521426,Win,1749,5.1038
AlphaBetaAgent,betterEvaluationFunction,smallClassic,24521427,Win,1739,5.9661
AlphaBetaAgent,betterEvaluationFunction,smallClassic,24521428,Win,1262,13.1564
AlphaBetaAgent,betterEvaluationFunction,smallClassic,24521429,Win,1318,6.8314
AlphaBetaAgent,betterEvaluationFunction,mediumClassic,24521425,Win,1908,9.5597
AlphaBetaAgent,betterEvaluationFunction,mediumClassic,24521426,Win,1895,11.2638
AlphaBetaAgent,betterEvaluationFunction,mediumClassic,24521427,Win,2086,8.1939
AlphaBetaAgent,betterEvaluationFunction,mediumClassic,24521428,Win,1616,16.8608
AlphaBetaAgent,betterEvaluationFunction,mediumClassic,24521429,Win,1658,9.6627
ExpectimaxAgent,betterEvaluationFunction,testClassic,24521425,Lose,-447,0.9778
ExpectimaxAgent,betterEvaluationFunction,testClassic,24521426,Win,544,1.5948
ExpectimaxAgent,betterEvaluationFunction,testClassic,24521427,Win,542,2.1482
ExpectimaxAgent,betterEvaluationFunction,testClassic,24521428,Win,556,1.4667
ExpectimaxAgent,betterEvaluationFunction,testClassic,24521429,Win,552,1.4266
ExpectimaxAgent,betterEvaluationFunction,minimaxClassic,24521425,Win,504,0.5909
ExpectimaxAgent,betterEvaluationFunction,minimaxClassic,24521426,Win,511,0.2852
ExpectimaxAgent,betterEvaluationFunction,minimaxClassic,24521427,Lose,-496,0.2726
ExpectimaxAgent,betterEvaluationFunction,minimaxClassic,24521428,Lose,-496,0.3272
ExpectimaxAgent,betterEvaluationFunction,minimaxClassic,24521429,Lose,-496,0.2758
ExpectimaxAgent,betterEvaluationFunction,trappedClassic,24521425,Win,531,0.1155
ExpectimaxAgent,betterEvaluationFunction,trappedClassic,24521426,Lose,-502,0.1153
ExpectimaxAgent,betterEvaluationFunction,trappedClassic,24521427,Lose,-502,0.1015
ExpectimaxAgent,betterEvaluationFunction,trappedClassic,24521428,Lose,-502,0.0977
ExpectimaxAgent,betterEvaluationFunction,trappedClassic,24521429,Lose,-502,0.0962
ExpectimaxAgent,betterEvaluationFunction,smallClassic,24521425,Win,1282,43.6916
ExpectimaxAgent,betterEvaluationFunction,smallClassic,24521426,Win,1335,25.1806
ExpectimaxAgent,betterEvaluationFunction,smallClassic,24521427,Win,1776,15.1951
ExpectimaxAgent,betterEvaluationFunction,smallClassic,24521428,Win,1453,34.3494
ExpectimaxAgent,betterEvaluationFunction,smallClassic,24521429,Win,1337,15.9116
ExpectimaxAgent,betterEvaluationFunction,mediumClassic,24521425,Win,1920,22.7398
ExpectimaxAgent,betterEvaluationFunction,mediumClassic,24521426,Win,1899,39.9668
ExpectimaxAgent,betterEvaluationFunction,mediumClassic,24521427,Win,1895,19.6163
ExpectimaxAgent,betterEvaluationFunction,mediumClassic,24521428,Win,1855,29.9433
ExpectimaxAgent,betterEvaluationFunction,mediumClassic,24521429,Win,1702,19.2618
